index,degree,closeness,betweenness,eigenvector
管各庄西,0.004830917874396135,0.06412639405204461,0.004760735048133722,5.2021114823182425e-05
育新,0.004830917874396135,0.06683887633193412,0.005144554560587675,9.512421051305068e-05
陶然桥,0.004830917874396135,0.08387358184764993,0.025995626311376037,0.002066621129798938
苏州桥,0.00966183574879227,0.08089097303634232,0.08147656631385404,0.028720596208227166
亦庄桥,0.004830917874396135,0.059033224012548124,0.01428317990587704,1.7668520671349923e-06
立水桥,0.00966183574879227,0.07356076759061833,0.0642900540177429,0.0009003389567908173
五棵松,0.004830917874396135,0.07050408719346049,0.030804669135277723,0.0008017928177967487
东夏园,0.004830917874396135,0.0414538900570742,0.004830917874396136,1.1873321607428425e-09
望京,0.00966183574879227,0.07688022284122563,0.07687537517945615,0.002868150086546521
通州北关,0.004830917874396135,0.05206237424547284,0.028634593115064746,6.282020007760579e-07
生命科学园,0.004830917874396135,0.06657018813314038,0.030660148176027042,0.00012489763022178162
昌平东关,0.004830917874396135,0.04680081392719873,0.014422570796925993,2.2273907412530197e-08
学院桥,0.004830917874396135,0.08206144697720516,0.024998285906451666,0.016849569480959496
亦庄文化园,0.004830917874396135,0.055908170155300474,0.009697901923399348,5.082063785659654e-07
芍药居,0.00966183574879227,0.08459337964854924,0.05714190308506072,0.01061829442959629
菜户营,0.004830917874396135,0.0823716673298846,0.012819859073323817,0.0015291882412947525
劲松,0.004830917874396135,0.0798611111111111,0.003110089675342156,0.0038195667844270788
四惠,0.004830917874396135,0.07719559947790416,0.060187251367901984,0.002696915841244699
刘家窑,0.004830917874396135,0.07622905542257412,0.007737627641477172,0.00047319378380638135
七里庄,0.00966183574879227,0.07189996526571726,0.04893137728647757,0.0010098815140523497
甘家口,0.00966183574879227,0.09001956947162426,0.031180782048960916,0.060559414056833946
枣园,0.004830917874396135,0.05865684329838481,0.028634593115064746,4.57875228810986e-06
张自忠路,0.00966183574879227,0.09918543363679923,0.12240895776450132,0.1725845145174074
首经贸,0.00966183574879227,0.07983031237948322,0.13102874101039022,0.000891791521402115
二里沟,0.00966183574879227,0.09027474923680767,0.040551773553444116,0.08476789554828909
立水桥南,0.004830917874396135,0.06936997319034853,0.0014543441219933484,0.0003943609571566129
安定门,0.004830917874396135,0.09218436873747494,0.007670899582205593,0.04196878700026193
霍营,0.00966183574879227,0.07128099173553719,0.05250252359453937,0.0003198116602174375
宋庄,0.004830917874396135,0.06429569808976549,0.033325145336936056,4.895076832573648e-05
楼梓庄桥西,0.004830917874396135,0.06038506417736289,8.187996397281586e-05,1.852287330462725e-05
豆各庄,0.004830917874396135,0.046087053322943335,0.01866315393791971,2.5119944096688763e-08
天安门东,0.004830917874396135,0.08626797249426964,0.004623723568600211,0.011798711065400987
郭公庄,0.007246376811594202,0.06676342525399129,0.0981408848204424,3.084723155449516e-05
虎坊桥,0.004830917874396135,0.0855902418854662,0.02606453473726455,0.005326809795924735
和平里北街,0.004830917874396135,0.08706624605678233,0.005949272558878709,0.013750414794528185
次渠南,0.004830917874396135,0.059083773369487655,0.014421596035450122,6.926659942322655e-06
巩华城,0.004830917874396135,0.06060606060606061,0.037992303283386555,1.1706862908382243e-05
安河桥北,0.0024154589371980675,0.05915130732961852,0.0,0.00013827136065887064
安贞门,0.004830917874396135,0.08311584019273238,0.02422480818999126,0.00596173557396212
花园桥,0.004830917874396135,0.08172127911567312,0.03098545468254889,0.019838808225213223
四环路,0.004830917874396135,0.07458115654836966,0.08628951199423006,0.00025551826723344136
大井,0.004830917874396135,0.06717507707285413,0.019183305845059714,0.00028849879730199655
南礼士路,0.004830917874396135,0.08882214117142244,0.02538189713730563,0.030572995030897318
崔各庄,0.004830917874396135,0.06706625627733678,0.042636066954416255,0.0002340733284169704
高楼金,0.004830917874396135,0.03934239285374893,0.0014932371048804358,2.3233661072493338e-10
南邵,0.004830917874396135,0.05153099327856609,0.023920646617772632,2.729389333498118e-07
颐和园南门,0.004830917874396135,0.06753670473083197,0.023920646617772632,0.0017332340687252516
十里堡,0.004830917874396135,0.07981492192018508,0.06097717888432701,0.004045517892137211
四惠东,0.004830917874396135,0.0720250521920668,0.05568385334939713,0.0007704463867865346
新发地,0.004830917874396135,0.08065458796025717,0.041680020898886054,0.001587358768162844
天通苑北,0.0024154589371980675,0.06034105815478793,0.0,1.9278664536956442e-05
廖公庄,0.004830917874396135,0.06508410627259865,0.03453554211502933,0.0003264306363840046
稻香湖路,0.004830917874396135,0.0460204535349044,0.009638441473371466,2.861597612947873e-07
宋家庄,0.00966183574879227,0.07617295308187673,0.06538496792338998,0.0002651158139668342
广安门内,0.004830917874396135,0.08345091715379964,0.03689969234121515,0.0054360096366338345
永定路,0.004830917874396135,0.06940486169321039,0.003174266503739782,0.0010464946076736202
车公庄西,0.004830917874396135,0.0931174089068826,0.03565066713632808,0.0960607855779642
北苑,0.004830917874396135,0.07666666666666666,0.06200250144419533,0.0024375552182831274
六道口,0.00966183574879227,0.07866235987079613,0.026104886192790184,0.005891266398286122
安德里北街,0.004830917874396135,0.09029443838604144,0.01340198183823352,0.03843091792168398
望京西,0.014492753623188404,0.08199643493761141,0.16548823495794826,0.008328575743113542
团结湖,0.00966183574879227,0.09114927344782034,0.08488715567517488,0.0277621465703255
知春路,0.00966183574879227,0.08419768151311775,0.07903125333148639,0.0468738126222831
东坝中街,0.004830917874396135,0.06415620641562064,0.0016736654540633908,7.37983595545875e-05
果园,0.004830917874396135,0.049034703304512615,0.02416006721986299,1.196376715893283e-07
北京大学东门,0.004830917874396135,0.06908059402636409,0.0037068229404264774,0.0020600717255586567
天宫院,0.0024154589371980675,0.043551441195034714,0.0,2.285724464951495e-09
永丰,0.004830917874396135,0.05061124694376528,0.019183305845059714,3.508270457160935e-06
积水潭,0.00966183574879227,0.09939975990396159,0.11499139664298469,0.25181602187152063
马连洼,0.004830917874396135,0.05938889685841343,0.033325145336936056,0.00015047680180479557
中关村,0.004830917874396135,0.0738362760834671,0.008221918096641752,0.006768607981703601
曹各庄北,0.007246376811594202,0.06854304635761589,0.047338316313997965,0.00017135014848731795
花梨坎,0.004830917874396135,0.05326128907757623,0.023920646617772632,1.5590208246838605e-06
管庄,0.004830917874396135,0.056805708013172335,0.03767026127537763,5.1314787756107045e-06
长椿街,0.004830917874396135,0.08859405093087952,0.003604426097420458,0.032135283895120804
东湖渠,0.004830917874396135,0.07145322747670003,0.009638441473371466,0.0008189549976465778
高米店北,0.004830917874396135,0.06615532118887824,0.037992303283386555,5.610442323592396e-05
平房村,0.004830917874396135,0.06624,0.002318082177055982,0.00010097447584395063
朱辛庄,0.007246376811594202,0.0643456636617967,0.0470386475000996,4.09793913956854e-05
西黄村,0.004830917874396135,0.06136060471320587,0.030020446958814062,9.343478871611182e-05
将台,0.004830917874396135,0.07450062983624257,0.004172205132832568,0.0006210837160718356
马泉营,0.004830917874396135,0.06301369863013699,0.037992303283386555,6.686932804405549e-05
公益西桥,0.004830917874396135,0.077066269545793,0.010044722056512771,0.0008190644914528661
黄村西大街,0.004830917874396135,0.05263157894736842,0.019183305845059714,3.7367637730294656e-07
玉泉路,0.004830917874396135,0.06615532118887824,0.02628957397906246,0.00022910563003869443
燕化,0.0024154589371980675,0.03128542280661981,0.0,5.023809331951909e-15
万寿寺,0.004830917874396135,0.0821917808219178,0.028456034510759624,0.03379893724736198
丰益桥南,0.007246376811594202,0.07672349888806523,0.01275370952442223,0.0008200714418202525
六里桥东,0.004830917874396135,0.07715244129705554,0.01238385865680974,0.002537641838337376
荣昌东街,0.004830917874396135,0.05191873589164785,0.0033730646110896666,1.7324561358252204e-07
燕郊北,0.004830917874396135,0.060526315789473685,0.028634593115064746,1.3984100347166495e-05
四季青,0.0024154589371980675,0.06700113286939634,0.0,0.0008314725261619033
奥林匹克公园,0.00966183574879227,0.07752808988764046,0.028352790779748945,0.002152711793037518
万安公墓,0.004830917874396135,0.056318868181199834,0.009638441473371466,4.038743760516513e-05
西铁营,0.004830917874396135,0.08585649108253837,0.015287063919726465,0.0042361305833142765
土桥,0.004830917874396135,0.04147049984974457,0.006146475145843499,8.10487867795621e-10
黄厂村,0.004830917874396135,0.04815073272854152,0.023166551956424582,8.792993732525618e-08
高家园,0.00966183574879227,0.07551988325428675,0.029596572323430402,0.0010395973361198422
万源街,0.004830917874396135,0.05309734513274336,0.005112623940921658,1.5728621812908358e-07
牡丹园,0.007246376811594202,0.09116934595903986,0.03905726922264096,0.05092005569331144
金台夕照,0.004830917874396135,0.08599916909015372,0.0020217240503586447,0.01324557872813442
肖村,0.004830917874396135,0.07099982850282971,0.028109196679572505,7.573747016328699e-05
崇文门,0.00966183574879227,0.088348271446863,0.022631570747678086,0.025228169193619428
车公庄,0.00966183574879227,0.09866539561487131,0.07034585899389603,0.278931268866637
望京东,0.004830917874396135,0.07165109034267912,0.047256436350025154,0.0008193640443445899
西苑,0.00966183574879227,0.06704453441295546,0.05319975202068054,0.0018438241378321263
丰台南路,0.00966183574879227,0.07291299753434308,0.04950043377746812,0.00031451191865809064
科怡路,0.004830917874396135,0.06850901869932152,0.02291496567008541,9.161216509226641e-05
