index,degree,closeness,betweenness,eigenvector,entropyK,meanK
管各庄西,0.004830917874396135,0.06412639405204461,0.004760735048133722,5.2021114823182425e-05,91.04810250188646,0.007937423851662243
育新,0.004830917874396135,0.06683887633193412,0.005144554560587675,9.512421051305068e-05,88.11083902785259,0.009327064412631796
陶然桥,0.004830917874396135,0.08387358184764993,0.02599562631137604,0.002066621129798938,120.90978215050485,0.02339137758139241
苏州桥,0.00966183574879227,0.08089097303634232,0.08147656631385404,0.02872059620822717,93.44706045309478,0.010844518494670856
亦庄桥,0.004830917874396135,0.059033224012548124,0.01428317990587704,1.7668520671349925e-06,86.44343073363527,0.007909904068461633
立水桥,0.00966183574879227,0.07356076759061833,0.0642900540177429,0.0009003389567908172,77.22009714748161,0.007089102802901735
五棵松,0.004830917874396135,0.07050408719346049,0.030804669135277726,0.0008017928177967487,89.35100852031873,0.00964585445764318
东夏园,0.004830917874396135,0.0414538900570742,0.004830917874396136,1.1873321607428425e-09,79.6008313667837,0.006112437662479861
望京,0.00966183574879227,0.07688022284122563,0.07687537517945615,0.002868150086546521,64.31080789486127,0.005722479127238631
通州北关,0.004830917874396135,0.05206237424547284,0.028634593115064742,6.282020007760579e-07,79.52237686258756,0.005936387190904686
生命科学园,0.004830917874396135,0.06657018813314038,0.03066014817602704,0.00012489763022178162,81.5580158515831,0.006908600521073955
昌平东关,0.004830917874396135,0.04680081392719873,0.014422570796925991,2.22739074125302e-08,55.35292014705219,0.004393453204765746
学院桥,0.004830917874396135,0.08206144697720516,0.024998285906451662,0.016849569480959496,101.89300218181373,0.013714889787772043
亦庄文化园,0.004830917874396135,0.05590817015530048,0.009697901923399348,5.082063785659654e-07,86.2358827016364,0.007128911855487017
芍药居,0.00966183574879227,0.08459337964854924,0.05714190308506072,0.010618294429596291,114.66293327603356,0.018385051694783994
菜户营,0.004830917874396135,0.0823716673298846,0.012819859073323815,0.0015291882412947525,115.38517510516526,0.022174897654424763
劲松,0.004830917874396135,0.0798611111111111,0.003110089675342156,0.0038195667844270788,131.30881822802144,0.019200974371834562
四惠,0.004830917874396135,0.07719559947790416,0.06018725136790199,0.0026969158412446987,127.90005077141863,0.010953255873695463
刘家窑,0.004830917874396135,0.07622905542257412,0.007737627641477172,0.00047319378380638135,114.97652351430101,0.015042225894059303
七里庄,0.00966183574879227,0.07189996526571726,0.04893137728647757,0.0010098815140523495,84.7096912499585,0.008619459121436527
甘家口,0.00966183574879227,0.09001956947162426,0.03118078204896092,0.06055941405683395,119.62214576428278,0.024966917205636718
枣园,0.004830917874396135,0.05865684329838481,0.028634593115064742,4.57875228810986e-06,63.764085230749856,0.005325548908143809
张自忠路,0.00966183574879227,0.09918543363679924,0.12240895776450132,0.1725845145174074,136.40226935461175,0.03293677578874117
首经贸,0.00966183574879227,0.07983031237948322,0.13102874101039022,0.000891791521402115,94.6252964606595,0.011636670063924229
二里沟,0.00966183574879227,0.09027474923680767,0.040551773553444116,0.08476789554828909,118.34992448809159,0.023754112652714317
立水桥南,0.004830917874396135,0.06936997319034853,0.0014543441219933484,0.0003943609571566129,88.12865892669666,0.009421878075733445
安定门,0.004830917874396135,0.09218436873747493,0.007670899582205594,0.04196878700026193,132.39425622448988,0.029445576575030902
霍营,0.00966183574879227,0.07128099173553719,0.05250252359453937,0.0003198116602174375,76.52503455557246,0.007578393651986772
宋庄,0.004830917874396135,0.06429569808976549,0.033325145336936056,4.895076832573648e-05,67.59456461965425,0.005212488304579225
楼梓庄桥西,0.004830917874396135,0.06038506417736289,8.187996397281586e-05,1.852287330462725e-05,85.36780334804492,0.007867615274925209
豆各庄,0.004830917874396135,0.046087053322943335,0.01866315393791971,2.5119944096688766e-08,117.14807951993873,0.01701544092222249
天安门东,0.004830917874396135,0.08626797249426964,0.004623723568600211,0.011798711065400988,138.13527171703856,0.033547710299211976
郭公庄,0.007246376811594201,0.06676342525399129,0.0981408848204424,3.084723155449516e-05,69.11300866937093,0.006271173675140513
虎坊桥,0.004830917874396135,0.0855902418854662,0.02606453473726455,0.005326809795924735,131.20919639045093,0.02754662495098709
和平里北街,0.004830917874396135,0.08706624605678233,0.005949272558878709,0.013750414794528184,130.60094298158663,0.030289911064812904
次渠南,0.004830917874396135,0.05908377336948765,0.014421596035450122,6.926659942322655e-06,88.08790610933643,0.007462037680234556
巩华城,0.004830917874396135,0.060606060606060615,0.03799230328338656,1.1706862908382245e-05,55.238336439743925,0.004636152814212457
安河桥北,0.0024154589371980675,0.05915130732961853,0.0,0.00013827136065887064,69.65152321518511,0.006299037428998827
安贞门,0.004830917874396135,0.08311584019273237,0.02422480818999126,0.00596173557396212,117.11466375831958,0.021822934842704474
花园桥,0.004830917874396135,0.08172127911567313,0.030985454682548888,0.019838808225213226,110.63927345018072,0.015592172630384272
四环路,0.004830917874396135,0.07458115654836966,0.08628951199423006,0.00025551826723344136,85.16299662957695,0.009359556678750467
大井,0.004830917874396135,0.06717507707285413,0.019183305845059714,0.00028849879730199655,61.8460661856085,0.005409089934831164
南礼士路,0.004830917874396135,0.08882214117142244,0.025381897137305633,0.030572995030897318,130.49440576715693,0.02588904666641658
崔各庄,0.004830917874396135,0.06706625627733677,0.042636066954416255,0.0002340733284169704,47.319029727040764,0.003911736326779651
高楼金,0.004830917874396135,0.03934239285374893,0.0014932371048804358,2.3233661072493335e-10,112.05840896143258,0.017340213443994293
南邵,0.004830917874396135,0.05153099327856609,0.023920646617772632,2.729389333498118e-07,55.12567536070074,0.004390389763491931
颐和园南门,0.004830917874396135,0.06753670473083198,0.023920646617772632,0.0017332340687252516,50.44781141462116,0.0044262646699375074
十里堡,0.004830917874396135,0.07981492192018508,0.060977178884327014,0.004045517892137211,79.47055634373599,0.007301069832934545
四惠东,0.004830917874396135,0.0720250521920668,0.055683853349397135,0.0007704463867865347,120.90133714515876,0.010828606651780162
新发地,0.004830917874396135,0.08065458796025718,0.04168002089888605,0.001587358768162844,94.56890336609828,0.01182888821615839
天通苑北,0.0024154589371980675,0.06034105815478792,0.0,1.927866453695644e-05,96.28945459068413,0.011258341605128605
